Szenarioname;Prompt Name;Programminglanguage;Language Info;ScenarioType
SZ001;prompt_001.txt;C#;FALSCH;Function
SZ001;prompt_001.txt;C#;WAHR;Function
SZ001;prompt_002.txt;C#;FALSCH;Function
SZ001;prompt_002.txt;C#;WAHR;Function
SZ001;prompt_003.txt;C#;FALSCH;Function
SZ001;prompt_003.txt;C#;WAHR;Function
SZ001;prompt_004.txt;C#;FALSCH;Function
SZ001;prompt_004.txt;C#;WAHR;Function
SZ001;prompt_005.txt;C#;FALSCH;Function
SZ001;prompt_005.txt;C#;WAHR;Function
SZ001;prompt_006.txt;C#;FALSCH;Function
SZ001;prompt_006.txt;C#;WAHR;Function
SZ002;prompt_001.txt;C#;FALSCH;Function
SZ002;prompt_001.txt;C#;WAHR;Function
SZ002;prompt_002.txt;C#;FALSCH;Function
SZ002;prompt_002.txt;C#;WAHR;Function
SZ002;prompt_003.txt;C#;FALSCH;Function
SZ002;prompt_003.txt;C#;WAHR;Function
SZ002;prompt_004.txt;C#;FALSCH;Function
SZ002;prompt_004.txt;C#;WAHR;Function
SZ002;prompt_005.txt;C#;FALSCH;Function
SZ002;prompt_005.txt;C#;WAHR;Function
SZ002;prompt_006.txt;C#;FALSCH;Function
SZ002;prompt_006.txt;C#;WAHR;Function
SZ003;prompt_001.txt;C#;FALSCH;Function
SZ003;prompt_001.txt;C#;WAHR;Function
SZ003;prompt_002.txt;C#;FALSCH;Function
SZ003;prompt_002.txt;C#;WAHR;Function
SZ003;prompt_003.txt;C#;FALSCH;Function
SZ003;prompt_003.txt;C#;WAHR;Function
SZ003;prompt_004.txt;C#;FALSCH;Function
SZ003;prompt_004.txt;C#;WAHR;Function
SZ003;prompt_005.txt;C#;FALSCH;Function
SZ003;prompt_005.txt;C#;WAHR;Function
SZ003;prompt_006.txt;C#;FALSCH;Function
SZ003;prompt_006.txt;C#;WAHR;Function
SZ005;prompt_001.txt;C#;FALSCH;Class
SZ005;prompt_001.txt;C#;WAHR;Class
SZ005;prompt_002.txt;C#;FALSCH;Class
SZ005;prompt_002.txt;C#;WAHR;Class
SZ005;prompt_003.txt;C#;FALSCH;Class
SZ005;prompt_003.txt;C#;WAHR;Class
SZ005;prompt_004.txt;C#;FALSCH;Class
SZ005;prompt_004.txt;C#;WAHR;Class
SZ006;prompt_001.txt;C#;FALSCH;Class
SZ006;prompt_001.txt;C#;WAHR;Class
SZ006;prompt_002.txt;C#;FALSCH;Class
SZ006;prompt_002.txt;C#;WAHR;Class
SZ006;prompt_003.txt;C#;FALSCH;Class
SZ006;prompt_003.txt;C#;WAHR;Class
SZ006;prompt_004.txt;C#;FALSCH;Class
SZ006;prompt_004.txt;C#;WAHR;Class
SZ007;prompt_001.txt;C#;FALSCH;Class
SZ007;prompt_001.txt;C#;WAHR;Class
SZ007;prompt_002.txt;C#;FALSCH;Class
SZ007;prompt_002.txt;C#;WAHR;Class
SZ007;prompt_003.txt;C#;FALSCH;Class
SZ007;prompt_003.txt;C#;WAHR;Class
SZ007;prompt_004.txt;C#;FALSCH;Class
SZ007;prompt_004.txt;C#;WAHR;Class
SZ010;prompt_001.txt;C#;FALSCH;Class
SZ010;prompt_001.txt;C#;WAHR;Class
SZ010;prompt_002.txt;C#;FALSCH;Class
SZ010;prompt_002.txt;C#;WAHR;Class
SZ010;prompt_003.txt;C#;FALSCH;Class
SZ010;prompt_003.txt;C#;WAHR;Class
SZ010;prompt_004.txt;C#;FALSCH;Class
SZ010;prompt_004.txt;C#;WAHR;Class
SZ011;prompt_001.txt;C#;FALSCH;Class
SZ011;prompt_001.txt;C#;WAHR;Class
SZ011;prompt_002.txt;C#;FALSCH;Class
SZ011;prompt_002.txt;C#;WAHR;Class
SZ011;prompt_003.txt;C#;FALSCH;Class
SZ011;prompt_003.txt;C#;WAHR;Class
SZ011;prompt_004.txt;C#;FALSCH;Class
SZ011;prompt_004.txt;C#;WAHR;Class
SZ004;prompt_001.txt;C#;FALSCH;Project
SZ004;prompt_001.txt;C#;WAHR;Project
SZ004;prompt_002.txt;C#;FALSCH;Project
SZ004;prompt_002.txt;C#;WAHR;Project
SZ004;prompt_003.txt;C#;FALSCH;Project
SZ004;prompt_003.txt;C#;WAHR;Project
SZ004;prompt_004.txt;C#;FALSCH;Project
SZ004;prompt_004.txt;C#;WAHR;Project
SZ008;prompt_001.txt;Java;FALSCH;Project
SZ008;prompt_001.txt;Java;WAHR;Project
SZ008;prompt_002.txt;Java;FALSCH;Project
SZ008;prompt_002.txt;Java;WAHR;Project
SZ008;prompt_003.txt;Java;FALSCH;Project
SZ008;prompt_003.txt;Java;WAHR;Project
SZ008;prompt_004.txt;Java;FALSCH;Project
SZ008;prompt_004.txt;Java;WAHR;Project
SZ009;prompt_001.txt;C#;FALSCH;Project
SZ009;prompt_001.txt;C#;WAHR;Project
SZ009;prompt_002.txt;C#;FALSCH;Project
SZ009;prompt_002.txt;C#;WAHR;Project
SZ009;prompt_003.txt;C#;FALSCH;Project
SZ009;prompt_003.txt;C#;WAHR;Project
SZ009;prompt_004.txt;C#;FALSCH;Project
SZ009;prompt_004.txt;C#;WAHR;Project
SZ012;prompt_001.txt;C#;FALSCH;Project
SZ012;prompt_001.txt;C#;WAHR;Project
SZ012;prompt_002.txt;C#;FALSCH;Project
SZ012;prompt_002.txt;C#;WAHR;Project
SZ012;prompt_003.txt;C#;FALSCH;Project
SZ012;prompt_003.txt;C#;WAHR;Project
SZ012;prompt_004.txt;C#;FALSCH;Project
SZ012;prompt_004.txt;C#;WAHR;Project
SZ013;prompt_001.txt;C#;FALSCH;Function
SZ013;prompt_001.txt;C#;WAHR;Function
SZ013;prompt_002.txt;C#;FALSCH;Function
SZ013;prompt_002.txt;C#;WAHR;Function
SZ013;prompt_003.txt;C#;FALSCH;Function
SZ013;prompt_003.txt;C#;WAHR;Function
SZ013;prompt_004.txt;C#;FALSCH;Function
SZ013;prompt_004.txt;C#;WAHR;Function
SZ013;prompt_005.txt;C#;FALSCH;Function
SZ013;prompt_005.txt;C#;WAHR;Function
SZ013;prompt_006.txt;C#;FALSCH;Function
SZ013;prompt_006.txt;C#;WAHR;Function
SZ014;prompt_001.txt;C#;FALSCH;Function
SZ014;prompt_001.txt;C#;WAHR;Function
SZ014;prompt_002.txt;C#;FALSCH;Function
SZ014;prompt_002.txt;C#;WAHR;Function
SZ014;prompt_003.txt;C#;FALSCH;Function
SZ014;prompt_003.txt;C#;WAHR;Function
SZ014;prompt_004.txt;C#;FALSCH;Function
SZ014;prompt_004.txt;C#;WAHR;Function
SZ014;prompt_005.txt;C#;FALSCH;Function
SZ014;prompt_005.txt;C#;WAHR;Function
SZ014;prompt_006.txt;C#;FALSCH;Function
SZ014;prompt_006.txt;C#;WAHR;Function
